Frames	sa_pro	sa_A	sa_C	sa_buried
894	12805.375	12917.54883	349.7532654	461.9270935
895	12639.21777	12777.87891	355.1193542	493.7804871
896	12703.74902	12812.4668	346.6961365	455.4139099
897	12819.0166	12951.42578	358.5733643	490.9825439
898	12900.26758	12999.53027	357.1774902	456.4401855
899	12936.48047	13081.86035	335.0604553	480.4403381
900	12928.42285	13010.0293	336.7397766	418.3462219
901	12695.00488	12789.97559	338.5370483	433.5077515
902	12694.46289	12848.73438	348.9744263	503.2459106
903	12614.5625	12732.5166	343.5311584	461.48526
904	12748.24316	12884.83203	340.8736572	477.4625244
905	12724.30664	12898.64551	351.2062073	525.5450745
906	12371.05859	12509.47754	356.5144653	494.9334106
907	12460.22559	12614.84668	345.1416626	499.7627563
908	12362.9541	12498.1875	349.1103821	484.3437805
909	12561.78613	12695.67676	350.7832642	484.6738892
910	12646.6748	12770.88477	357.538147	481.7481079
911	12739.22559	12829.25098	340.956604	430.9819946
912	12717.88086	12852.24805	341.1114197	475.4786072
913	12542.51367	12682.08594	342.4942322	482.0664978
914	12766.77051	12888.61328	347.4463501	469.2891235
915	12720.98926	12827.0127	338.0067444	444.0301819
916	12989.46094	13121.39746	333.3666992	465.3032227
917	12855.98633	12954.83887	339.2178955	438.0704346
918	12659.87598	12785.16309	350.2047119	475.4918213
919	12650.88477	12782.27441	343.2134705	474.6031189
920	12615.99316	12731.69434	338.692627	454.3937988
921	12840.96875	12957.75879	339.1465149	455.936554
922	12609.74707	12732.89746	341.6233521	464.7737427
923	12620.63574	12758.67285	343.2879333	481.3250427
924	12750.61133	12895.21777	346.4490967	491.055542
925	12750.58105	12890.63379	345.0095215	485.0622559
926	12580.00293	12723.93066	341.2088928	485.1366272
927	12760.03418	12907.2627	346.7044067	493.9329224
928	12686.66309	12816.2168	335.2006531	464.754364
929	12559.18066	12686.68555	341.4042053	468.9090881
930	12469.7207	12592.36621	346.5069275	469.1524353
931	12600.00879	12736.6543	344.1421204	480.7876282
932	12755.37305	12882.51074	348.7371521	475.8748474
933	12536.15527	12661.73242	343.8729858	469.4501343
934	12618.88965	12766.71875	335.1730652	483.0021667
935	12654.58105	12787.11914	343.4369507	475.9750366
936	12639.45313	12781.79395	343.0842896	485.4251099
937	12668.02246	12800.19238	345.1311035	477.3010254
938	12708.7998	12855.51367	347.5136719	494.2275391
939	12592.125	12717.71973	340.0990906	465.6938171
940	12493.61523	12645.51855	339.8746033	491.7779236
941	12539.15039	12690.93555	344.9084473	496.6936035
942	12357.9209	12496.16895	340.9513245	479.1993713
943	12687.84668	12822.24121	341.6102905	476.0048218
944	12737.96582	12869.96777	343.5535583	475.5555115
945	12636.54297	12766.65234	342.6844177	472.7937927
946	12848.94922	12972.39063	335.4660645	458.9074707
947	12657.49121	12740.50098	327.9770203	410.9867859
948	12294.80664	12375.4834	339.1568604	419.8336182
949	12365.6416	12488.91406	343.539978	466.812439
950	12384.5166	12543.8291	347.4350281	506.7475281
951	12653.71191	12793.57324	359.31604	499.1773682
952	12872.98047	13029.04395	352.5661316	508.6296082
953	12719.46777	12821.93359	341.7196045	444.1854248
954	12702.90723	12845.50586	340.0527954	482.6514282
955	12664.79785	12842.76563	360.7802734	538.7480469
956	12725.71973	12872.85449	338.7230225	485.8577881
957	12807.52539	12945.4209	338.6881104	476.5836182
958	12391.12793	12534.64453	343.0566711	486.5732727
